Row ID,Order ID,Order Date,Date Key,Contact Name,Country,City,Region,Subregion,Customer,Customer ID,Industry,Segment,Product,License,Sales,Quantity,Discount,Profit,GDP_per_Capita,Internet_Penetration,Profit Margin
20,AMER-2020-143336,2020-08-27,20200827,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,Site Analytics,I54O29EW1T,213.48,3,0.2,16.01,84534.0407841548,93.1444,7.5
21,AMER-2020-143336,2020-08-27,20200827,Blake Hughes,United States,Los Angeles,AMER,NAMER,Wells Fargo,1099,Finance,SMB,ContactMatcher,E3TF1V9DE8,22.72,4,0.2,7.38,84534.0407841548,93.1444,32.5
22,AMER-2022-137330,2022-12-10,20221210,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,ChatBot Plugin,B83G92QX65,19.46,7,0.0,5.06,18587.1532203482,85.3951,26.0
23,AMER-2022-137330,2022-12-10,20221210,Melanie Sharp,Costa Rica,San José,AMER,LATAM,Carrefour,1048,Retail,Strategic,OneView,VWDIYAB44Z,60.34,7,0.0,15.69,18587.1532203482,85.3951,26.0
24,EMEA-2023-156909,2023-07-17,20230717,Luke Bower,France,Paris,EMEA,EU-WEST,Costco Wholesale,1025,Retail,SMB,FinanceHub,AJOASBK55N,71.37,2,0.3,-1.02,46103.0840855884,88.6538,-1.43
25,EMEA-2021-106320,2021-09-25,20210925,Jonathan Ferguson,Turkiye,Istanbul,EMEA,MEA,McKesson,1063,Consumer Products,SMB,ContactMatcher,P1I8X35CUZ,1044.63,3,0.0,240.26,15892.7157287241,87.3079,23.0
26,AMER-2022-121755,2022-01-16,20220116,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,ContactMatcher,NRCR8EBL62,11.65,2,0.2,4.22,84534.0407841548,93.1444,36.25
27,AMER-2022-121755,2022-01-16,20220116,Sam Parsons,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,SMB,Data Smasher,PV9U9D3A6O,90.57,3,0.0,11.77,84534.0407841548,93.1444,13.0
28,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,Marketing Suite,F8G07TWQ17,3083.43,7,0.5,-1665.05,46103.0840855884,88.6538,-54.0
29,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,BGL4P1U2CZ,9.62,2,0.7,-7.05,46103.0840855884,88.6538,-73.33
30,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack,B5H6S070N8,124.2,3,0.2,15.52,46103.0840855884,88.6538,12.5
31,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,SaaS Connector Pack - Gold,D9635UBJOG,3.26,2,0.2,1.1,46103.0840855884,88.6538,33.75
32,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,6SQI2HAZ4C,86.3,6,0.2,9.71,46103.0840855884,88.6538,11.25
33,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ContactMatcher,GPQ0TDTGIM,6.86,6,0.7,-5.72,46103.0840855884,88.6538,-83.33
34,EMEA-2021-150630,2021-09-17,20210917,Neil Gill,France,Paris,EMEA,EU-WEST,Intel,1051,Tech,SMB,ChatBot Plugin,4YZZHFC212,15.76,2,0.2,3.55,46103.0840855884,88.6538,22.5
35,APJ-2023-107727,2023-10-20,20231020,Amelia Campbell,Japan,Tokyo,APJ,JAPN,Glencore,1083,Misc,Enterprise,Support,77YXBOVGDH,29.47,3,0.2,9.95,32487.0778047567,86.9815,33.75
36,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,Site Analytics,GCT4GPUBVT,1097.54,7,0.2,123.47,32487.0778047567,86.9815,11.25
37,APJ-2022-117590,2022-12-09,20221209,Chloe Short,Japan,Aichi,APJ,JAPN,Procter & Gamble,1077,Consumer Products,Strategic,SaaS Connector Pack,TKN9K1JO1D,190.92,5,0.6,-147.96,32487.0778047567,86.9815,-77.5
38,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,SaaS Connector Pack - Gold,2F0NIUM5X9,113.33,9,0.2,35.42,32487.0778047567,86.9815,31.25
39,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Marketing Suite,FBXEM82WEZ,532.4,3,0.32,-46.98,32487.0778047567,86.9815,-8.82
40,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,FinanceHub,TS9MS0FQVU,212.06,3,0.3,-15.15,32487.0778047567,86.9815,-7.14
41,APJ-2021-117415,2021-12-27,20211227,Jasmine Metcalfe,Japan,Tokyo,APJ,JAPN,Banco Santander,1101,Finance,Enterprise,Site Analytics,HDJMRDRWK6,371.17,4,0.2,41.76,32487.0778047567,86.9815,11.25
42,APJ-2023-120999,2023-09-11,20230911,Karen Mathis,Australia,Wollongong,APJ,ANZ,Pemex,1058,Energy,Strategic,Site Analytics,QINRKET2EK,147.17,4,0.2,16.56,64603.9856308464,97.0631,11.25
43,AMER-2022-101343,2022-07-18,20220718,Dylan Dickens,United States,New York City,AMER,NAMER,Siemens,1043,Manufacturing,Strategic,Marketing Suite - Gold,DFHNNSTX0P,77.88,2,0.0,3.89,84534.0407841548,93.1444,5.0
44,EMEA-2023-139619,2023-09-20,20230920,Sophie Lewis,Germany,Hanover,EMEA,EU-WEST,Samsung Electronics,1015,Tech,Strategic,Marketing Suite - Gold,616XTGD7Y3,95.62,2,0.2,9.56,56103.7323182554,93.5,10.0
45,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,Data Smasher,F4GWWGL9KR,45.98,2,0.0,19.77,137781.681659123,98.7606,43.0
46,EMEA-2022-118255,2022-03-12,20220312,Gavin Mitchell,Luxembourg,Luxembourg,EMEA,EU-WEST,Sony,1028,Tech,Strategic,ContactMatcher,JFCUNTQD5P,17.46,2,0.0,8.21,137781.681659123,98.7606,47.0
47,AMER-2020-146703,2020-10-20,20201020,Katherine Dowd,Brazil,Salvador,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,Marketing Suite - Gold,S2GUIRDRRI,211.96,4,0.0,8.48,10310.5488778166,84.4635,4.0
48,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Data Smasher,2L5WUVH1UW,45.0,3,0.0,4.95,3984.8315387656,83.7661,11.0
49,APJ-2022-169194,2022-06-21,20220621,Harry Brown,Philippines,Davao City,APJ,APAC,Bank of America Corp.,1011,Finance,SMB,Site Analytics,O0QZ4DQ2DW,21.8,2,0.0,6.1,3984.8315387656,83.7661,28.0
50,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,ContactMatcher,4A8Q6U643K,38.22,6,0.0,17.96,2694.73780859961,70.0,47.0
51,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,N3660I16OB,75.18,6,0.0,35.33,2694.73780859961,70.0,47.0
52,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,SaaS Connector Pack,DU3DC8HDNW,6.16,2,0.0,2.96,2694.73780859961,70.0,48.0
53,APJ-2021-115742,2021-04-18,20210418,Brian Dickens,India,Kolkata,APJ,IND,Siemens,1043,Manufacturing,SMB,FinanceHub,SCMV1FUA1Z,89.99,1,0.0,17.1,2694.73780859961,70.0,19.0
54,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Storage,5JTHBK78DZ,15.26,7,0.0,6.26,53246.3676145108,96.2988,41.0
55,EMEA-2022-105816,2022-12-12,20221212,Joseph Newman,United Kingdom,London,EMEA,UKIR,Tesco,1059,Retail,Strategic,Site Analytics,JPNWB3X2PG,1029.95,5,0.0,298.69,53246.3676145108,96.2988,29.0
56,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Marketing Suite - Gold,RI8MDZ0Y3A,208.56,6,0.0,52.14,53246.3676145108,96.2988,25.0
57,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,TA8D5XDFPN,32.4,5,0.0,15.55,53246.3676145108,96.2988,48.0
58,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,FinanceHub,9QD1V31VWF,319.41,5,0.1,7.1,53246.3676145108,96.2988,2.22
59,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Support,NKEOT3DP5L,14.56,2,0.0,6.99,53246.3676145108,96.2988,48.0
60,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,Data Smasher,I8M069JA80,30.0,2,0.0,3.3,53246.3676145108,96.2988,11.0
61,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ContactMatcher,3N1DY2AIMD,48.48,4,0.2,16.36,53246.3676145108,96.2988,33.75
62,EMEA-2022-111682,2022-06-18,20220618,Nicola Howard,United Kingdom,Brighton,EMEA,UKIR,Aviva,1006,Finance,SMB,ChatBot Plugin,MBZM7LCSK4,1.68,1,0.0,0.84,53246.3676145108,96.2988,50.0
63,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Data Smasher,LMJYGCZAFV,13.98,2,0.0,6.15,84534.0407841548,93.1444,44.0
64,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,ContactMatcher,MVEQDJNPR2,25.82,6,0.2,9.36,84534.0407841548,93.1444,36.25
65,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,Support,OLS0NNZ15B,146.73,3,0.0,68.96,84534.0407841548,93.1444,47.0
66,AMER-2021-135545,2021-11-24,20211124,Stewart Wilson,United States,New York City,AMER,NAMER,Mondelez International,1067,Consumer Products,SMB,SaaS Connector Pack,84GUTTZTC0,79.76,4,0.0,22.33,84534.0407841548,93.1444,28.0
67,APJ-2021-164175,2021-04-30,20210430,Eric McLean,Australia,Sydney,APJ,ANZ,Abbott Laboratories,1001,Healthcare,Enterprise,FinanceHub,6QHQUNX985,213.12,5,0.3,-15.22,64603.9856308464,97.0631,-7.14
68,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,ChatBot Plugin,91D0JN8T6U,1113.02,8,0.2,111.3,16709.8893972307,94.4574,10.0
69,AMER-2020-106376,2020-12-05,20201205,Leah Clarkson,Chile,Puente Alto,AMER,LATAM,Morgan Stanley,1068,Finance,Strategic,Site Analytics,6NQZXRTE33,167.97,4,0.2,62.99,16709.8893972307,94.4574,37.5
70,EMEA-2022-119823,2022-06-05,20220605,Alison Davidson,Spain,Madrid,EMEA,EU-WEST,Fannie Mae,1035,Finance,SMB,Support,JH2K4261IC,75.88,2,0.0,35.66,35326.7683069278,95.7575,47.0
71,EMEA-2022-106075,2022-09-19,20220919,Sophie Vance,United Kingdom,London,EMEA,UKIR,Aetna,1002,Healthcare,SMB,ContactMatcher,5MAZAYKQ5U,4.62,1,0.2,1.73,53246.3676145108,96.2988,37.5
72,AMER-2023-114440,2023-09-15,20230915,Neil Gill,Brazil,Rio de Janeiro,AMER,LATAM,Intel,1051,Tech,SMB,Support,K4O1D2NXHZ,19.05,3,0.0,8.76,10310.5488778166,84.4635,46.0
73,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,FinanceHub,NPQNQFYUUU,831.94,8,0.2,-114.39,6267.186814093,75.6592,-13.75
74,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,SaaS Connector Pack,D0Z9FZR0JL,97.04,2,0.2,1.21,6267.186814093,75.6592,1.25
75,EMEA-2021-134026,2021-04-26,20210426,Anne Lee,South Africa,Cape Town,EMEA,MEA,Oracle,1072,Tech,SMB,Marketing Suite - Gold,X15ND79M8Q,72.78,1,0.2,-18.2,6267.186814093,75.6592,-25.0
76,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,ContactMatcher,A4VC3VGTLE,1.25,3,0.8,-1.93,32487.0778047567,86.9815,-155.0
77,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,SaaS Connector Pack,IR30G9I4WJ,9.71,3,0.6,-5.82,32487.0778047567,86.9815,-60.0
78,APJ-2023-118038,2023-12-10,20231210,Maria Dyer,Japan,Tokyo,APJ,JAPN,Nissan Motor,1098,Transportation,Strategic,Marketing Suite - Gold,PGTVTGM7XI,27.24,3,0.2,2.72,32487.0778047567,86.9815,10.0
79,APJ-2020-147606,2020-11-26,20201126,Anne Lee,Japan,Tokyo,APJ,JAPN,Oracle,1072,Tech,SMB,SaaS Connector Pack,JQHP8C8VXP,19.3,5,0.6,-14.48,32487.0778047567,86.9815,-75.0
80,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,OneView,1I3JIURUQR,208.16,1,0.0,56.2,29292.242104753,88.487,27.0
81,EMEA-2022-127208,2022-06-13,20220613,Julia Ellison,Portugal,Lisboa,EMEA,EU-WEST,Tyson Foods,1088,Consumer Products,Strategic,ContactMatcher,0UHOHNAAAD,16.74,3,0.0,8.04,29292.242104753,88.487,48.0
82,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,ChatBot Plugin,920M0N09EE,14.9,5,0.0,4.17,84534.0407841548,93.1444,28.0
83,AMER-2020-139451,2020-10-12,20201012,Gordon McLean,United States,Los Angeles,AMER,NAMER,Verizon Communications,1094,Communications,SMB,Marketing Suite - Gold,9SVF10L0F3,21.39,1,0.0,6.2,84534.0407841548,93.1444,29.0
84,EMEA-2021-149734,2021-09-03,20210903,Jessica Buckland,Sweden,Uppsala,EMEA,NOR,Itochu,1032,Finance,Strategic,SaaS Connector Pack - Gold,CFUHIDO1WY,200.98,7,0.2,62.81,57117.4877440616,95.5293,31.25
85,APJ-2023-119662,2023-11-14,20231114,Bernadette Nolan,Australia,Sydney,APJ,ANZ,Royal Dutch Shell,1031,Energy,Enterprise,Marketing Suite - Gold,CUL2MB77E0,230.38,3,0.2,-48.95,64603.9856308464,97.0631,-21.25
86,AMER-2023-140088,2023-05-29,20230529,Katherine Dowd,Colombia,Bogotá,AMER,LATAM,Morgan Stanley,1068,Finance,SMB,FinanceHub,RBNGNEEYS9,301.96,2,0.0,33.22,7919.20886825345,77.3369,11.0
87,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,Data Smasher,W731G6G61K,19.99,1,0.0,6.8,137781.681659123,98.7606,34.0
88,EMEA-2023-155558,2023-10-27,20231027,Sonia Ince,Luxembourg,Luxembourg,EMEA,EU-WEST,Daimler,1052,Transportation,SMB,FinanceHub,A3HQUY156G,6.16,2,0.0,2.96,137781.681659123,98.7606,48.0
89,APJ-2022-159695,2022-04-06,20220406,William Lewis,Japan,Tokyo,APJ,JAPN,Fannie Mae,1035,Finance,Enterprise,Marketing Suite - Gold,45JXXNYX5W,158.37,7,0.2,13.86,32487.0778047567,86.9815,8.75
90,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,ChatBot Plugin,AX50KL6AG9,20.1,3,0.0,6.63,84534.0407841548,93.1444,33.0
91,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Site Analytics,S4CEY2GSVW,73.58,2,0.2,8.28,84534.0407841548,93.1444,11.25
92,AMER-2022-109806,2022-09-18,20220918,Melanie Young,United States,New York City,AMER,NAMER,Daimler,1052,Transportation,Strategic,Support,V86OBN8J1U,6.48,1,0.0,3.11,84534.0407841548,93.1444,48.0
93,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,Support,XJEFE2O3YF,12.96,2,0.0,6.22,137781.681659123,98.7606,48.0
94,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,SaaS Connector Pack,5XEHT10HDW,53.34,3,0.0,16.54,137781.681659123,98.7606,31.0
95,EMEA-2021-149587,2021-01-31,20210131,Edward Oliver,Luxembourg,Luxembourg,EMEA,EU-WEST,Morgan Stanley,1068,Finance,SMB,ContactMatcher,U40N63E6AK,32.96,2,0.0,16.15,137781.681659123,98.7606,49.0
96,EMEA-2023-109484,2023-11-07,20231107,Peter Quinn,Belgium,Brussels,EMEA,EU-WEST,Walgreens,1095,Retail,Enterprise,ContactMatcher,VK1TWXDWUR,5.68,1,0.7,-3.79,56614.5679499036,95.7758,-66.67
97,EMEA-2023-161018,2023-11-10,20231110,Max Marshall,United Kingdom,London,EMEA,UKIR,Boeing,1014,Manufacturing,Enterprise,SaaS Connector Pack,UFEXZDF5TK,96.53,7,0.0,40.54,53246.3676145108,96.2988,42.0
98,AMER-2023-157833,2023-06-18,20230618,Jan Watson,United States,Los Angeles,AMER,NAMER,Valero Energy,1093,Energy,SMB,ContactMatcher,GJFN2RJA9U,51.31,3,0.2,17.96,84534.0407841548,93.1444,35.0
99,EMEA-2022-149223,2022-09-07,20220907,Carol Ball,Luxembourg,Luxembourg,EMEA,EU-WEST,Nestle,1089,Consumer Products,Strategic,OneView,PFLFDN3SOU,77.88,6,0.0,22.59,137781.681659123,98.7606,29.0
100,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Support,2CWM52X1X9,64.62,7,0.2,22.62,64603.9856308464,97.0631,35.0
101,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,Data Smasher,LW1M6UDC4B,95.98,3,0.2,-10.8,64603.9856308464,97.0631,-11.25
102,APJ-2022-158568,2022-08-30,20220830,Gavin Walsh,Australia,Sydney,APJ,ANZ,Philip Morris International,1075,Consumer Products,Enterprise,ContactMatcher,WCITXGLF0J,1.79,3,0.8,-3.04,64603.9856308464,97.0631,-170.0
103,EMEA-2022-129903,2022-12-02,20221202,Penelope Peake,Luxembourg,Luxembourg,EMEA,EU-WEST,Trafigura Group,1100,Finance,SMB,Support,45EAEXTILE,23.92,4,0.0,11.72,137781.681659123,98.7606,49.0
104,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russian Federation,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,Data Smasher,EV59Z98WXW,238.9,6,0.2,-26.88,14889.0185546875,94.365,-11.25
105,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russian Federation,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,SaaS Connector Pack,YR7I08I1K4,102.36,3,0.2,-3.84,14889.0185546875,94.365,-3.75
106,EMEA-2021-156867,2021-11-13,20211113,Amy Scott,Russian Federation,Moscow,EMEA,EU-EAST,Walmart,1096,Retail,SMB,ContactMatcher,W01T1PXXK7,36.88,3,0.7,-25.82,14889.0185546875,94.365,-70.0
107,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Data Smasher,6D89G3BGGH,74.11,8,0.2,17.6,57117.4877440616,95.5293,23.75
108,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,Site Analytics,ECNQ9AS54S,27.99,1,0.2,2.1,57117.4877440616,95.5293,7.5
109,EMEA-2023-119004,2023-11-24,20231124,Carl Jackson,Sweden,Stockholm,EMEA,NOR,Cisco Systems,1019,Tech,SMB,ChatBot Plugin,D0H5JTRD3R,3.3,1,0.2,1.07,57117.4877440616,95.5293,32.5
110,APJ-2021-129476,2021-10-15,20211015,Joe Wallace,Australia,Canberra,APJ,ANZ,Nissan Motor,1098,Transportation,Enterprise,Data Smasher,OG63K8FFP9,339.96,5,0.2,67.99,64603.9856308464,97.0631,20.0
111,EMEA-2023-146780,2023-12-26,20231226,Luke Mills,United Kingdom,London,EMEA,UKIR,Prudential Financial,1078,Finance,Strategic,SaaS Connector Pack,E5KT4VQ59T,41.96,2,0.0,10.91,53246.3676145108,96.2988,26.0
112,EMEA-2022-128867,2022-11-04,20221104,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ChatBot Plugin,FDKOX22CWX,75.96,2,0.0,22.79,67520.4218956281,97.0068,30.0
113,EMEA-2022-128867,2022-11-04,20221104,Alexandra Dyer,Netherlands,The Hague,EMEA,EU-WEST,Walmart,1096,Retail,SMB,ContactMatcher,OAF6MA4XZ7,27.24,6,0.0,13.35,67520.4218956281,97.0068,49.0
114,AMER-2020-115259,2020-08-25,20200825,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,Storage,1DRXSUGWY6,40.1,14,0.2,14.53,14185.7812248529,81.1832,36.25
115,AMER-2020-115259,2020-08-25,20200825,Rebecca Dickens,Mexico,Mexico City,AMER,LATAM,Amazon,1004,Tech,SMB,SaaS Connector Pack - Gold,U9IXLQYDG8,4.72,2,0.2,1.65,14185.7812248529,81.1832,35.0
